id,lat,lon,alt,name,tz,search_name
KJAN,32.32,-90.08,87.0,"Jackson, Jackson International Airport",America/Chicago,"Jackson, Jackson International Airport"
KHKS,32.33,-90.22,91.0,"Jackson, Hawkins Field Airport",America/Chicago,"Jackson, Hawkins Field Airport"
KMBO,32.44,-90.1,99.0,Bruce Campbell Field,America/Chicago,Bruce Campbell Field
KGRF,47.12,-122.55,91.0,Fort Lewis / Gray U. S. Army Airfield,America/Los_Angeles,Fort Lewis / Gray U. S. Army Airfield
KTCM,47.15,-122.48,94.0,Tacoma / McChord Air Force Base,America/Los_Angeles,Tacoma / McChord Air Force Base
KTIW,47.27,-122.58,84.0,"Tacoma, Tacoma Narrows Airport",America/Los_Angeles,"Tacoma, Tacoma Narrows Airport"
KLRJ,42.78,-96.19,368.0,"Le Mars, Le Mars Municipal Airport",America/Chicago,"Le Mars, Le Mars Municipal Airport"
KADS,32.97,-96.83,198.0,Dallas / Addison Airport,America/Chicago,Dallas / Addison Airport
KTKI,33.18,-96.59,168.0,"Mc Kinney, Collin County Regional Airport at Mc Kinney",America/Chicago,"Mc Kinney, Collin County Regional Airport at Mc Kinney"
KGEG,47.62,-117.53,715.0,"Spokane, Spokane International Airport",America/Los_Angeles,"Spokane, Spokane International Airport"
KSFF,47.69,-117.32,605.0,"Spokane, Felts Field",America/Los_Angeles,"Spokane, Felts Field"
KSKA,47.62,-117.65,742.0,Fairchild Air Force Base,America/Los_Angeles,Fairchild Air Force Base
KMSY,29.99,-90.25,2.0,"New Orleans, New Orleans International Airport",America/Chicago,"New Orleans, New Orleans International Airport"
KNBG,29.83,-90.03,1.0,"New Orleans, Naval Air Station - Alvin Callender Field",America/Chicago,"New Orleans, Naval Air Station - Alvin Callender Field"
KNEW,30.05,-90.03,1.0,"New Orleans, New Orleans Lakefront Airport",America/Chicago,"New Orleans, New Orleans Lakefront Airport"
KNTU,36.82,-76.03,5.0,"Virginia Beach, Oceana, Naval Air Station",America/New_York,"Virginia Beach, Oceana, Naval Air Station"
KORF,36.9,-76.19,5.0,"Norfolk, Norfolk International Airport",America/New_York,"Norfolk, Norfolk International Airport"
KMDQ,34.86,-86.56,218.0,"Huntsville, Madison County Executive Airport",America/Chicago,"Huntsville, Madison County Executive Airport"
KHUA,34.68,-86.68,208.0,Redstone Army Air Field,America/Chicago,Redstone Army Air Field
KHWD,37.66,-122.12,20.0,"Hayward, Hayward Air Terminal",America/Los_Angeles,"Hayward Executive Airport"
KPAO,37.47,-122.12,1.0,Palo Alto Airport,America/Los_Angeles,Palo Alto Airport
KTYS,35.82,-83.99,299.0,"Knoxville, McGhee Tyson Airport",America/New_York,"Knoxville, McGhee Tyson Airport"
KDKX,35.97,-83.87,261.0,Knoxville Downtown,America/New_York,Knoxville Downtown
KDFW,32.9,-97.02,167.0,"Dallas / Fort Worth, Dallas / Fort Worth International Airpo",America/Chicago,"Dallas / Fort Worth, Dallas / Fort Worth International Airpo"
KRVS,36.04,-95.99,199.0,"Tulsa, Jones Jr. Airport",America/Chicago,"Tulsa, Jones Jr. Airport"
KTUL,36.2,-95.89,201.0,"Tulsa, Tulsa International Airport",America/Chicago,"Tulsa, Tulsa International Airport"
KOWP,36.18,-96.15,272.0,William R. Pogue Municipal Airport,America/Chicago,William R. Pogue Municipal Airport
KIAB,37.62,-97.27,410.0,McConnell Air Force Base,America/Chicago,McConnell Air Force Base
KICT,37.65,-97.43,399.0,"Wichita, Wichita Mid-Continent Airport",America/Chicago,"Wichita, Wichita Mid-Continent Airport"
KAAO,37.75,-97.22,426.0,"Wichita, Colonel James Jabara Airport",America/Chicago,"Wichita, Colonel James Jabara Airport"
KBEC,37.69,-97.21,429.0,Beech Factory Airport,America/Chicago,Beech Factory Airport
KFAT,36.78,-119.72,91.0,"Fresno, Fresno Air Terminal",America/Los_Angeles,"Fresno, Fresno Air Terminal"
KGNV,29.69,-82.28,40.0,"Gainesville, Gainesville Regional Airport",America/New_York,"Gainesville, Gainesville Regional Airport"
KDEC,39.83,-88.87,207.0,"Decatur, Decatur Airport",America/Chicago,"Decatur, Decatur Airport"
KBOI,43.57,-116.24,854.0,"Boise, Boise Air Terminal",America/Denver,"Boise, Boise Air Terminal"
KMGM,32.3,-86.41,78.0,"Montgomery, Dannelly Field",America/Chicago,"Montgomery, Dannelly Field"
KMXF,32.38,-86.37,46.0,Maxwell Air Force Base / Montgomery,America/Chicago,Maxwell Air Force Base / Montgomery
KCYS,41.16,-104.81,1878.0,"Cheyenne, Cheyenne Airport",America/Denver,"Cheyenne, Cheyenne Airport"
KFEW,41.13332,-104.86719,1889.0,WARREN AFB,America/Denver,WARREN AFB
KDWH,30.07,-95.56,48.0,"Houston, Hooks Memorial Airport",America/Chicago,"Houston, Hooks Memorial Airport"
KIAH,29.99,-95.36,28.0,"Houston, Houston Intercontinental Airport",America/Chicago,"Houston, Houston Intercontinental Airport"
KSRQ,27.4,-82.56,7.0,"Sarasota / Bradenton, Sarasota-Bradenton International Airpo",America/New_York,"Sarasota / Bradenton, Sarasota-Bradenton International Airpo"
KNYG,38.51,-77.29,3.0,"Quantico, Marine Corps Air Facility",America/New_York,"Quantico, Marine Corps Air Facility"
