id,lat,lon,alt,name,tz
KBTR,30.54,-91.15,18.0,"Baton Rouge, Baton Rouge Metropolitan, Ryan Field",America/Chicago
KRNO,39.48,-119.77,1350.0,"Reno, Reno Tahoe International Airport",America/Los_Angeles
KRTS,39.67,-119.88,1539.0,Reno/stead,America/Los_Angeles
KAUO,32.62,-85.43,229.0,Auburn-Opelika Airport,America/Chicago
KF44,32.16,-95.83,135.0,Athens Muni,America/Chicago
KSMQ,40.62,-74.67,30.0,"Somerville, Somerset Airport",America/New_York
KW63,36.6,-78.57,122.0,Clarksville / Marks,America/New_York
KCXE,36.79,-78.5,153.0,Chase City Municipal Airport,America/New_York
KGSO,36.1,-79.94,271.0,"Greensboro, Piedmont Triad International Airport",America/New_York
KTTN,40.28,-74.82,61.0,"Trenton, Mercer County Airport",America/New_York
KPIA,40.67,-89.68,198.0,"Peoria, Greater Peoria Regional Airport",America/Chicago
KTLH,30.39,-84.35,14.0,"Tallahassee, Tallahassee Regional Airport",America/New_York
KORD,41.98,-87.9,202.0,"Chicago, Chicago-O'Hare International Airport",America/Chicago
KPWK,42.12,-87.9,194.0,"Chicago / Wheeling, Pal-Waukee Airport",America/Chicago
KTME,29.81,-95.9,51.0,Houston Executive Airport,America/Chicago
KBDL,41.94,-72.68,45.0,"Windsor Locks, Bradley International Airport",America/New_York
KHFD,41.74,-72.65,13.0,"Hartford, Hartford-Brainard Airport",America/New_York
KMHT,42.93,-71.44,68.0,"Manchester, Manchester Airport",America/New_York
KPIE,27.91,-82.69,2.0,"St. Petersburg / Clearwater, St. Petersburg / Clearwater Int",America/New_York
KSPG,27.77,-82.63,1.0,"St. Petersburg, Whitted Airport",America/New_York
KCHS,32.9,-80.04,9.0,"Charleston, Charleston Air Force Base",America/New_York
KLRO,32.9,-79.78,4.0,Mt Pleasant Regional-Faison field,America/New_York
KJZI,32.7,-80.0,5.0,Charleston Executive Airport,America/New_York
KLIT,34.73,-92.24,83.0,"Little Rock, Adams Field",America/Chicago
KLRF,34.92,-92.15,108.0,Little Rock Air Force Base,America/Chicago
KBMG,39.14,-86.62,268.0,"Bloomington, Monroe County Airport",America/New_York
KAPF,26.15,-81.77,3.0,"Naples, Naples Municipal Airport",America/New_York
KMKY,26.0,-81.67,2.0,Marco Island Airport,America/New_York
KMMK,41.51,-72.83,32.0,"Meriden, Meriden Markham Municipal Airport",America/New_York
KLBB,33.67,-101.82,990.0,"Lubbock, Lubbock International Airport",America/Chicago
KCON,43.2,-71.5,91.0,"Concord, Concord Municipal Airport",America/New_York
PAED,61.25,-149.79,57.0,"Anchorage, Elmendorf Air Force Base",America/Anchorage
PAFR,61.27,-149.65,121.0,"Ft. Richardson / Bryant U. S. Army Heliport, Ak",America/Anchorage
PALH,61.18,-149.97,23.0,"Anchorage, Lake Hood Seaplane Base",America/Anchorage
PAMR,61.22,-149.85,31.0,"Anchorage, Merrill Field Airport",America/Anchorage
PANC,61.17,-150.0,38.0,"Anchorage, Ted Stevens Anchorage International Airport",America/Anchorage
KCXY,40.22,-76.85,92.0,"Harrisburg, Capital City Airport",America/New_York
KMDT,40.19,-76.76,91.0,"Harrisburg, Harrisburg International Airport",America/New_York
KCHA,35.03,-85.2,213.0,"Chattanooga, Lovell Field",America/New_York
KSYR,43.11,-76.1,122.0,"Syracuse, Syracuse Hancock International Airport",America/New_York
KPAE,47.92,-122.28,161.0,"Everett, Snohomish County Airport",America/Los_Angeles
KBTV,44.47,-73.15,94.0,"Burlington, Burlington International Airport",America/New_York
KISM,28.29,-81.44,22.0,"Orlando, Kissimmee Municipal Airport",America/New_York
KMUI,40.43,-76.57,152.0,Muir Army Air Field / Indiantown,America/New_York
KFMY,26.58,-81.86,2.0,"Fort Myers, Page Field",America/New_York
KRSW,26.53,-81.77,5.0,"Fort Myers, Southwest Florida International Airport",America/New_York
KBFL,35.43,-119.06,147.0,"Bakersfield, Meadows Field Airport",America/Los_Angeles
KSMD,41.14,-85.15,255.0,Smith Field,America/New_York
KFWA,40.98,-85.2,238.0,"Fort Wayne, Fort Wayne International Airport",America/New_York
KLAN,42.78,-84.58,258.0,"Lansing, Capital City Airport",America/New_York
KAHN,33.95,-83.33,243.0,"Athens, Athens Airport",America/New_York
KSUA,27.18,-80.22,4.0,"Stuart, Witham Field Airport",America/New_York
KAPA,39.56,-104.85,1770.0,"Denver, Centennial Airport",America/Denver
KAGS,33.36,-81.96,38.0,"Augusta, Bush Field",America/New_York
KDNL,33.47,-82.04,127.0,"Augusta, Daniel Field",America/New_York
KOJC,38.85,-94.74,314.0,"Olathe, Johnson County Executive Airport",America/Chicago
KLZU,33.98,-83.96,317.0,"Lawrenceville, Gwinnett County-Briscoe Field Airport",America/New_York
KDLH,46.84,-92.23,443.0,"Duluth, Duluth International Airport",America/Chicago
KDYT,46.72,-92.04,183.0,"Duluth, Sky Harbor Airport",America/Chicago
KSUW,46.69,-92.09,204.0,"Superior, Richard I. Bong Airport",America/Chicago
KLVN,44.63,-93.23,293.0,"Minneapolis, Airlake Airport",America/Chicago
KGAI,39.17,-77.17,164.0,Montgomery County Airpark,America/New_York
KPBI,26.68,-80.1,6.0,"West Palm Beach, Palm Beach International Airport",America/New_York
KLNA,26.59,-80.09,4.0,Palm Beach County Park Airport,America/New_York
KEZF,38.27,-77.45,15.0,"Fredericksburg, Shannon Airport",America/New_York
KRMN,38.4,-77.46,44.0,"Stafford, Stafford Regional Airport",America/New_York
KCPK,36.67,-76.32,5.0,"Chesapeake, Chesapeake Municipal Airport",America/New_York
KNGU,36.93,-76.3,3.0,"Norfolk, Naval Air Station",America/New_York
KPVG,36.78,-76.45,7.0,Hampton Roads Executive Airport,America/New_York
KCOF,28.23,-80.6,3.0,Cocoa / Patrick Air Force Base,America/New_York
KMLB,28.1,-80.65,7.0,"Melbourne, Melbourne International Airport",America/New_York
KCLW,27.98,-82.76,22.0,Clearwater Air Park,America/New_York
KMEI,32.34,-88.75,89.0,"Meridian, Key Field",America/Chicago
KDNV,40.2,-87.6,204.0,"Danville, Vermilion County Airport",America/Chicago
KLHQ,39.76,-82.66,269.0,"Lancaster, Fairfield County Airport",America/New_York
KCAK,40.92,-81.44,365.0,"Akron, Akron-Canton Regional Airport",America/New_York
KAKR,41.04,-81.46,320.0,"Akron, Akron Fulton International Airport",America/New_York
KROG,36.37,-94.1,407.0,"Rogers, Rogers Municipal Airport-Carter Field",America/Chicago
KVBT,36.35,-94.22,394.0,"Bentonville, Bentonville Municipal Airport/Louise M Thaden F",America/Chicago
KXNA,36.28,-94.31,388.0,"Fayetteville/Springdale, Northwest Arkansas Regional Airport",America/Chicago
KBOW,27.95,-81.78,38.0,Bartow Municipal,America/New_York
KGIF,28.06,-81.76,39.0,"Winter Haven, Winter Haven's Gilbert Airport",America/New_York
KLAL,27.98,-82.02,39.0,Lakeland Regional,America/New_York
KARB,42.22,-83.74,243.0,"Ann Arbor, Ann Arbor Municipal Airport",America/New_York
KYIP,42.24,-83.53,217.0,"Detroit, Willow Run Airport",America/New_York
KBED,42.47,-71.29,42.0,"Bedford, Hanscom Field",America/New_York
KSCK,37.89,-121.22,8.0,"Stockton, Stockton Metropolitan Airport",America/Los_Angeles
KGRB,44.48,-88.14,209.0,"Green Bay, Austin Straubel International Airport",America/Chicago
KROA,37.32,-79.97,335.0,"Roanoke, Roanoke Regional Airport",America/New_York
KLVK,37.69,-121.81,122.0,"Livermore, Livermore Municipal Airport",America/Los_Angeles
KLHM,38.91,-121.35,37.0,Lincoln Regional Karl Harder Field,America/Los_Angeles
KPTK,42.66,-83.41,296.0,"Pontiac, Oakland County International Airport",America/New_York
ZSQD,36.07,120.33,60.0,Qingdao,Asia/Shanghai
c101120202,36.13,120.52,54.0,崂山,Asia/Shanghai
c101120201,36.07,120.33,76.0,青岛,Asia/Shanghai
ZUGY,26.58,106.72,1078.0,Guiyang,Asia/Shanghai
c101260101,26.58,106.73,1223.8,贵阳,Asia/Shanghai
c101260102,26.67,106.65,1323.0,白云,Asia/Shanghai
c101260103,26.42,106.67,1149.0,花溪,Asia/Shanghai
c101260104,26.63,106.77,1104.0,乌当,Asia/Shanghai
ZSNJ,31.93333,118.9,1.0,Nanjing,Asia/Shanghai
c101190101,31.93,118.9,35.2,南京,Asia/Shanghai
