id,lat,lon,alt,name,tz,search_name
VOBL,13.2,77.71,905.0,Bengaluru International Airport,Asia/Kolkata,Bangalore
VIDP,28.57,77.12,228.0,New Delhi / Palam,Asia/Kolkata,New Delhi
48698,1.37,103.98,1.0,SINGAPORE/CHANGI AIRPORT,Asia/Singapore,SINGAPORE/CHANGI AIRPORT
WSAP,1.37,103.92,1.0,Singapore / Paya Lebar,Asia/Singapore,Singapore / Paya Lebar
WSSS,1.37,103.98,1.0,Singapore / Changi Airport,Asia/Singapore,Singapore / Changi Airport
WSSL,1.42,103.87,11.0,Seletar Airport,Asia/Singapore,Seletar Airport
VABB,19.12,72.85,15.0,Bombay / Santacruz,Asia/Kolkata,Bombay / Santacruz
VAJJ,19.1,72.83,4.0,Juhu Aerodrome,Asia/Kolkata,Juhu Aerodrome
VOHY,17.45,78.47,526.0,Hyderabad Airport,Asia/Kolkata,Hyderabad Airport
VOHS,17.23,78.43,617.0,"Rajiv Gandhi International Airport, Shamshabad",Asia/Kolkata,"Rajiv Gandhi International Airport, Shamshabad"
VOMM,13.0,80.18,15.0,Madras / Minambakkam,Asia/Kolkata,Madras / Minambakkam
41923,23.77,90.38,3.0,DHAKA,Asia/Dhaka,DHAKA
VGHS,23.85,90.4,10.0,DHAKA,Asia/Dhaka,DHAKA
42811,22.18,88.2,4.0,DIAMOND HARBOUR,Asia/Kolkata,DIAMOND HARBOUR
VECC,22.65,88.45,12.0,Calcutta / Dum Dum,Asia/Kolkata,Calcutta / Dum Dum
VIJP,26.82,75.8,366.0,Jaipur / Sanganer,Asia/Kolkata,Jaipur / Sanganer
VAAH,23.07,72.63,62.0,Ahmadabad,Asia/Kolkata,Ahmadabad
VILK,26.75,80.88,124.0,Lucknow / Amausi,Asia/Kolkata,Lucknow / Amausi
VEPT,25.6,85.1,51.0,Patna,Asia/Kolkata,Patna
VIAR,31.7,74.8,219.0,Amritsar,Asia/Kolkata,Amritsar
OPLA,31.52,74.4,208.0,Lahore Airport,Asia/Karachi,Lahore Airport
41780,24.9,67.13,13.0,KARACHI AIRPORT,Asia/Karachi,KARACHI AIRPORT
OPKC,24.9,67.13,13.0,Karachi Airport,Asia/Karachi,Karachi Airport
VABP,23.28,77.35,506.0,Bhopal / Bairagarh,Asia/Kolkata,Bhopal / Bairagarh
43450,7.17,79.88,10.0,KATUNAYAKE,Asia/Colombo,KATUNAYAKE
43466,6.9,79.87,12.0,COLOMBO,Asia/Colombo,COLOMBO
43467,6.82,79.88,5.0,RATMALANA,Asia/Colombo,RATMALANA
VCBI,7.17,79.88,10.0,Katunayake,Asia/Colombo,Katunayake
VCCC,6.82,79.88,5.0,Ratmalana,Asia/Colombo,Ratmalana
VOCI,10.15,76.4,9.0,Cochin International Airport,Asia/Kolkata,Cochin International Airport
VEBS,20.25,85.83,32.0,Bhubaneswar,Asia/Kolkata,Bhubaneswar
VAID,22.72,75.8,558.0,Indore,Asia/Kolkata,Indore
VOCB,11.03,77.05,361.0,Coimbatore / Peelamedu,Asia/Kolkata,Coimbatore / Peelamedu
VNKT,27.7,85.37,1302.0,Kathmandu Airport,Asia/Kathmandu,Kathmandu Airport
VANP,21.1,79.05,306.0,Nagpur Sonegaon,Asia/Kolkata,Nagpur Sonegaon
41571,33.62,73.1,498.0,ISLAMABAD AIRPORT,Asia/Karachi,ISLAMABAD AIRPORT
VEGT,26.1,91.58,54.0,Gauhati,Asia/Kolkata,Gauhati
VASU,21.11,72.74,5.0,Surat Airport,Asia/Kolkata,Surat Airport
42139,29.02,77.63,220.0,MEERUT,Asia/Kolkata,Meerut
VABO,22.34,73.23,39.0,Vadodara Airport,Asia/Kolkata,Vadodara Airport
48097,16.77,96.17,9.0,YANGON,Asia/Rangoon,YANGON
VYYY,16.9,96.13333,9.0,Yangon,Asia/Rangoon,Yangon
VOBZ,16.53,80.8,13.0,Vijayawada / Gannavaram,Asia/Kolkata,Vijayawada / Gannavaram
OPMT,30.2,71.43,122.0,Multan,Asia/Karachi,Multan
VEIM,24.77,93.9,775.0,Imphal Tulihal,Asia/Kolkata,Imphal Tulihal
41992,21.43,91.93,4.0,COX'S BAZAR,Asia/Dhaka,COX'S BAZAR
VOCL,11.14,75.96,104.0,Calicut International Airport,Asia/Kolkata,Calicut International Airport
43421,8.33,80.42,81.0,ANURADHAPURA,Asia/Colombo,ANURADHAPURA
43418,8.58,81.25,79.0,TRINCOMALEE,Asia/Colombo,TRINCOMALEE
43284,12.92,74.88,33.0,BAJPE,Asia/Kolkata,Mangalore
48033,22.58,95.72,100.0,SHWEBO,Asia/Rangoon,SHWEBO
VAUD,24.62,73.9,513.0,Maharana Pratap Airport,Asia/Kolkata,Maharana Pratap Airport
41851,26.09,88.56,54.0,"DIMLA, NILPHAMARI",Asia/Dhaka,"DIMLA, NILPHAMARI"
43121,17.35,76.85,471.0,GULBARGA,Asia/Kolkata,GULBARGA
41850,26.3442,88.6072,63.0,"TETULIA, PANCHAGOR",Asia/Dhaka,"TETULIA, PANCHAGOR"
41951,22.68,90.65,1.0,BHOLA,Asia/Dhaka,BHOLA
43341,10.2833,77.0,1041.0,VALPARAI,Asia/Kolkata,VALPARAI
41909,24.25,89.93,12.0,TANGAIL,Asia/Dhaka,TANGAIL
VGEG,22.27,91.82,4.0,Chittagong Patenga,Asia/Dhaka,Chittagong Patenga
43441,7.47,80.37,186.0,KURUNEGALA,Asia/Colombo,KURUNEGALA
41938,23.0131,89.8225,9.0,GOPALGANJ SADAR,Asia/Dhaka,GOPALGANJ SADAR
41759,25.27,63.48,6.0,PASNI,Asia/Karachi,PASNI
VOTP,13.63,79.54,107.0,Tirupati Airport,Asia/Kolkata,Tirupati Airport
VOML,12.92,74.88,33.0,Mangalore / Bajpe,Asia/Kolkata,Mangalore
VAAU,19.85,75.4,572.0,Aurangabad Chikalthan Aerodrome,Asia/Kolkata,Aurangabad
VOAT,10.82,72.18,4.0,Agatti Airport,Asia/Kolkata,Agatti Airport
VISR,33.99,74.77,1655.0,Sheikh ul Alam Airport,Asia/Kolkata,Sheikh ul Alam Airport
42727,23.73,92.72,1018.0,AIJAL,Asia/Kolkata,AIJAL
43473,6.97,80.77,2047.0,NUWARA ELIYA,Asia/Colombo,NUWARA ELIYA
FJDG,-7.3,72.4,1.0,Diego Garcia,Indian/Chagos,Diego Garcia
VORY,17.11,81.82,46.0,Rajahmundry Airport,Asia/Kolkata,Rajahmundry Airport
VYMD,21.70216,95.97793,851.0,MANDALAY,Asia/Rangoon,MANDALAY
48025,23.2,94.3,85.0,KALEWA,Asia/Rangoon,KALEWA
43424,8.03,79.83,1.0,PUTTALAM,Asia/Colombo,PUTTALAM
VEJH,21.92,84.08,235.0,Jharsuguda,Asia/Kolkata,Jharsuguda
VARK,22.3,70.78,134.0,Rajkot,Asia/Kolkata,Rajkot
41941,23.27,90.7,5.0,CHANDPUR,Asia/Dhaka,CHANDPUR
41863,25.65,88.68,34.0,DINAJPUR,Asia/Dhaka,DINAJPUR
42503,25.03,88.13,26.0,MALDA,Asia/Kolkata,MALDA
42935,20.11,77.13,565.0,WASHIM,Asia/Kolkata,WASHIM
VEJS,22.82,86.18,128.0,Jamshedpur,Asia/Kolkata,Jamshedpur
48085,17.5833,94.5833,3.0,GWA,Asia/Rangoon,Mawlamyine
41989,21.82,91.85,3.0,KUTUBDIA,Asia/Dhaka,KUTUBDIA
VELP,23.84,92.62,426.0,Lengpui Airport,Asia/Kolkata,Lengpui Airport
43413,8.98,79.92,2.0,MANNAR,Asia/Colombo,MANNAR
VAPR,21.65,69.66,7.0,Porbandar Airport,Asia/Kolkata,Porbandar Airport
41858,25.75,88.92,35.0,SAIDPUR,Asia/Dhaka,SAIDPUR
41859,25.73,89.23,32.0,RANGPUR,Asia/Dhaka,RANGPUR
43348,10.33,79.38,1.0,ATIRAMAPATTINAM,Asia/Kolkata,ATIRAMAPATTINAM
43476,6.83,80.98,1314.0,DIYATALAWA,Asia/Colombo,DIYATALAWA
41978,22.27,91.82,6.0,CHITTAGONG (PATENGA),Asia/Dhaka,CHITTAGONG (PATENGA)
41939,23.17,90.18,13.0,MADARIPUR,Asia/Dhaka,MADARIPUR
VABV,21.75,72.2,7.0,Bhaunagar,Asia/Kolkata,Bhaunagar
VEMR,25.88,93.77,148.0,Dimapur Airport,Asia/Kolkata,Dimapur Airport
VOTR,10.77,78.72,81.0,Tiruchchirapalli,Asia/Kolkata,Tiruchchirapalli
43479,6.98,81.05,774.0,BADULLA,Asia/Colombo,BADULLA
43415,8.75,80.5,89.0,VAVUNIYA,Asia/Colombo,VAVUNIYA
41927,23.52,89.1464,12.0,"KUMARKHALI, KUSHTIA",Asia/Dhaka,"KUMARKHALI, KUSHTIA"
VQPR,27.4,89.42,2235.0,Paro Airport,Asia/Thimphu,Paro Airport
