id,lat,lon,alt,name,tz,utc_offset
KMCC,38.67,-121.4,18.0,"Sacramento, McClellan Airfield Airport",America/Los_Angeles,UTC-8
KMHR,38.55,-121.3,24.0,"Sacramento, Sacramento Mather Airport",America/Los_Angeles,UTC-8
KSAC,38.51,-121.49,5.0,"Sacramento, Sacramento Executive Airport",America/Los_Angeles,UTC-8
KSMF,38.7,-121.59,5.0,"Sacramento, Sacramento International Airport",America/Los_Angeles,UTC-8
KCNU,37.67,-95.48,304.0,"Chanute, Chanute Martin Johnson Airport",America/Chicago,UTC-6
KMEM,35.06,-89.98,76.0,"Memphis, Memphis International Airport",America/Chicago,UTC-6
KAWM,35.13,-90.23,64.0,"West Memphis, West Memphis Municipal Airport",America/Chicago,UTC-6
KMKE,42.96,-87.9,217.0,"Milwaukee, General Mitchell International Airport",America/Chicago,UTC-6
KMWC,43.12,-88.03,228.0,Milwaukee / Timmerman,America/Chicago,UTC-6
KAFF,38.97,-104.82,1999.0,Air Force Academy,America/Denver,UTC-7
KCOS,38.82,-104.71,1886.0,"Colorado Springs, City Of Colorado Springs Municipal Airport",America/Denver,UTC-7
KFCS,38.7,-104.77,1737.0,Fort Carson,America/Denver,UTC-7
KDET,42.41,-83.01,191.0,"Detroit, Detroit City Airport",America/New_York,UTC-5
KDAA,38.72,-77.18,15.0,Fort Belvoir,America/New_York,UTC-5
KSGS,44.86,-93.03,244.0,"South St. Paul, South St. Paul Municipal-Richard E. Fleming",America/Chicago,UTC-6
K21D,45.0,-92.86,284.0,Lake Elmo Airport,America/Chicago,UTC-6
KOKC,35.39,-97.6,395.0,"Oklahoma City, Will Rogers World Airport",America/Chicago,UTC-6
KPWA,35.54,-97.65,401.0,"Oklahoma City, Wiley Post Airport",America/Chicago,UTC-6
KTIK,35.42,-97.38,390.0,Tinker Air Force Base,America/Chicago,UTC-6
KMSN,43.14,-89.35,259.0,"Madison, Dane County Regional-Truax Field",America/Chicago,UTC-6
KC29,43.11,-89.53,283.0,Middleton Municipal Morey Field,America/Chicago,UTC-6
KABQ,35.04,-106.61,1615.0,"Albuquerque, Albuquerque International Airport",America/Denver,UTC-7
KAEG,35.15,-106.79,1767.0,"Albuquerque, Double Eagle II Airport",America/Denver,UTC-7
KCDW,40.88,-74.28,57.0,"Caldwell, Essex County Airport",America/New_York,UTC-5
KLDJ,40.62,-74.24,7.0,Linden Airport,America/New_York,UTC-5
KMLE,41.2,-96.11,323.0,"Omaha, Millard Airport",America/Chicago,UTC-6
KARR,41.77,-88.48,213.0,"Aurora, Aurora Municipal Airport",America/Chicago,UTC-6
KDPA,41.9,-88.25,228.0,"Chicago / West Chicago, Dupage Airport",America/Chicago,UTC-6
KAOH,40.71,-84.02,287.0,"Lima, Lima Allen County Airport",America/New_York,UTC-5
KDAY,39.91,-84.22,304.0,"Dayton, Cox Dayton International Airport",America/New_York,UTC-5
KFFO,39.83,-84.05,246.0,Dayton / Wright-Patterson Air Force Base,America/New_York,UTC-5
KMGY,39.59,-84.22,295.0,"Dayton, Dayton-Wright Brothers Airport",America/New_York,UTC-5
KLGB,33.81,-118.15,25.0,"Long Beach, Long Beach Airport",America/Los_Angeles,UTC-8
KTOA,33.8,-118.33,30.0,"Torrance, Zamperini Field Airport",America/Los_Angeles,UTC-8
KFLL,26.07,-80.15,3.0,"Fort Lauderdale, Fort Lauderdale / Hollywood International A",America/New_York,UTC-5
KFXE,26.2,-80.18,3.0,"Fort Lauderdale, Fort Lauderdale Executive Airport",America/New_York,UTC-5
KPMP,26.25,-80.11,4.0,"Pompano Beach, Pompano Beach Airpark",America/New_York,UTC-5
KHWO,26.0,-80.24,3.0,"Hollywood, North Perry Airport",America/New_York,UTC-5
KLEX,38.04,-84.61,274.0,"Lexington, Blue Grass Airport",America/New_York,UTC-5
KBHM,33.57,-86.74,208.0,"Birmingham, Birmingham International Airport",America/Chicago,UTC-6
KASG,36.18,-94.12,408.0,Springdale Municipal,America/Chicago,UTC-6
KFYV,36.01,-94.17,393.0,"Fayetteville, Drake Field",America/Chicago,UTC-6
KILG,39.67,-75.6,15.0,"Wilmington, New Castle County Airport",America/New_York,UTC-5
KGMU,34.85,-82.35,305.0,"Greenville, Greenville Downtown Airport",America/New_York,UTC-5
KGSP,34.88,-82.22,274.0,"Greer, Greenville-Spartanburg Airport",America/New_York,UTC-5
KGYH,34.76,-82.38,291.0,Donaldson Center Airport,America/New_York,UTC-5
KLNS,40.12,-76.29,121.0,"Lancaster, Lancaster Airport",America/New_York,UTC-5
KBIF,31.85,-106.38,1197.0,Biggs Army Air Field / Ft. Bliss,America/Denver,UTC-7
KELP,31.81,-106.38,1205.0,"El Paso, El Paso International Airport",America/Denver,UTC-7
KTRM,33.63,-116.16,-32.0,"Palm Springs, Jacqueline Cochran Regional Airport",America/Los_Angeles,UTC-8
KCHD,33.27,-111.81,377.0,"Chandler, Chandler Municipal Airport",America/Phoenix,UTC-7
KFFZ,33.47,-111.73,405.0,Mesa / Falcon Field,America/Phoenix,UTC-7
KIWA,33.32,-111.65,422.0,"Mesa, Williams Gateway Airport",America/Phoenix,UTC-7
KMGE,33.92,-84.52,312.0,Marietta / Dobbins Air Force Base,America/New_York,UTC-5
KRYY,34.01,-84.6,305.0,"Marietta, Cobb County-McCollum Field Airport",America/New_York,UTC-5
KSLE,44.91,-122.99,59.0,"Salem, McNary Field",America/Los_Angeles,UTC-8
KVLL,42.54,-83.18,217.0,"Troy, Oakland/Troy Airport",America/New_York,UTC-5
KGRR,42.88,-85.52,243.0,"Grand Rapids, Gerald R. Ford International Airport",America/New_York,UTC-5
KLNK,40.83,-96.76,354.0,"Lincoln, Lincoln Municipal Airport",America/Chicago,UTC-6
KJAN,32.32,-90.08,87.0,"Jackson, Jackson International Airport",America/Chicago,UTC-6
KHKS,32.33,-90.22,91.0,"Jackson, Hawkins Field Airport",America/Chicago,UTC-6
KMBO,32.44,-90.1,99.0,Bruce Campbell Field,America/Chicago,UTC-6
KGRF,47.12,-122.55,91.0,Fort Lewis / Gray U. S. Army Airfield,America/Los_Angeles,UTC-8
KTCM,47.15,-122.48,94.0,Tacoma / McChord Air Force Base,America/Los_Angeles,UTC-8
KTIW,47.27,-122.58,84.0,"Tacoma, Tacoma Narrows Airport",America/Los_Angeles,UTC-8
