id,lat,lon,alt,name,tz,search_name,random_group
RJFF,33.58,130.45,9.0,Fukuoka Airport,Asia/Tokyo,Fukuoka Airport,4
RJCO,43.12,141.38,5.0,Sapporo Ab,Asia/Tokyo,Sapporo Airport,4
KQTA,35.45,139.47,50.0,ATSUGI,Asia/Tokyo,ATSUGI,4
RJBE,34.63,135.22,7.0,Kobe Airport,Asia/Tokyo,Kobe Airport,4
47143,35.88,128.62,51.0,DAEGU,Asia/Seoul,DAEGU,4
RKTN,35.9,128.65,33.0,Taegu Ab,Asia/Seoul,Taegu Airport,4
RKSO,37.1,127.03,9.0,Osan Ab,Asia/Seoul,Osan Ab,4
RKSW,37.25,127.0,19.0,Suwon Ab,Asia/Seoul,Suwon Ab,4
47133,36.37,127.37,31.0,DAEJEON,Asia/Seoul,DAEJEON,4
RKTE,36.4,127.5,72.0,Songmu Ab,Asia/Seoul,Songmu Ab,4
RKTF,36.3,127.4,161.0,Taejon,Asia/Seoul,Taejon,4
RKSD,37.35,127.27,171.0,Maesanri,Asia/Seoul,Maesanri,4
RJOB,34.75,133.85,200.0,Okayama Airport,Asia/Tokyo,Okayama Airport,4
RJSS,38.13,140.92,2.0,Sendai Airport,Asia/Tokyo,Sendai Airport,4
RJSU,38.23,140.92,8.0,Kasuminome Ab,Asia/Tokyo,Kasuminome Ab,4
RJTU,36.52,139.87,99.0,Utsunomiya Ab,Asia/Tokyo,Utsunomiya Ab,4
47152,35.55,129.32,6.0,ULSAN,Asia/Seoul,ULSAN,4
RJNY,34.82,138.3,6.0,Shizuhama Ab,Asia/Tokyo,Shizuhama Airport,4
RJNS,34.8,138.19,123.0,Shizuoka,Asia/Tokyo,Shizuoka,4
RJOM,33.82,132.7,18.0,Matsuyama Airport,Asia/Tokyo,Matsuyama Airport,4
RJTY,35.75,139.35,132.0,Yokota Ab,Asia/Tokyo,Yokota Ab,4
RJNT,36.65,137.18,25.0,Toyama Airport,Asia/Tokyo,Toyama Airport,4
RJAF,36.17,137.93,650.0,Matsumoto Airport,Asia/Tokyo,Matsumoto Airport,4
RKSG,36.93,127.0,1.0,Pyongtaek Ab,Asia/Seoul,Pyongtaek Ab,4
RKTU,36.7,127.5,50.0,Chongju Ab,Asia/Seoul,Chongju Ab,4
